timestamp_s,speed_target_rps,direction,rps,Iq_A,Id_A,Vbus_V,P_elec_W,T_fet_C
9.899988071992993e-06,10,CW,9.946375846862793,0.3888336718082428,-0.00043690577149391174,24.084379196166992,0.10310453176498413,36.74492645263672
0.012795899994671345,10,CW,9.83916187286377,0.44405755400657654,-0.009492143988609314,24.09404945373535,0.1112435832619667,36.74584197998047
0.0254199999908451,10,CW,9.80084228515625,0.39665254950523376,-0.04875103756785393,24.084379196166992,0.14660309255123138,36.74703598022461
0.03921479999553412,10,CW,9.872291564941406,0.39709562063217163,-0.057898152619600296,24.087602615356445,0.10461616516113281,36.74819564819336
0.052565299993148074,10,CW,9.937080383300781,0.3702523112297058,-0.07133058458566666,24.08599090576172,0.1316695660352707,36.74906921386719
0.0649614999856567,10,CW,9.90427303314209,0.37867993116378784,-0.00286710262298584,24.09404945373535,0.08918836712837219,36.74981689453125
0.07525369999348186,10,CW,9.96998405456543,0.3292325735092163,-0.04270466789603233,24.07793426513672,0.09412051737308502,36.750484466552734
0.08636209998803679,10,CW,9.96343994140625,0.4226335287094116,0.01824510097503662,24.092437744140625,0.09668415039777756,36.75130844116211
0.09770239998761099,10,CW,10.035224914550781,0.37245476245880127,-0.05136788636445999,24.068265914916992,0.11604928970336914,36.751949310302734
0.10845189999963623,10,CW,9.967286109924316,0.35725700855255127,-0.11597122251987457,24.079545974731445,0.11790603399276733,36.752620697021484
0.11953179999545682,10,CW,9.824244499206543,0.35189881920814514,0.059420764446258545,24.089214324951172,0.15504272282123566,36.75339126586914
0.1300918999913847,10,CW,9.752459526062012,0.3613017499446869,-0.06954607367515564,24.11016273498535,0.12199446558952332,36.75429153442383
0.13997849999577738,10,CW,9.824076652526855,0.387685090303421,0.1669992357492447,24.097270965576172,0.11720317602157593,36.755096435546875
0.1502351999952225,10,CW,9.784969329833984,0.3961610794067383,0.10109417140483856,24.074710845947266,0.11018986254930496,36.75608444213867
0.16241819999413565,10,CW,9.817344665527344,0.4384470582008362,0.15365594625473022,24.0988826751709,0.12674440443515778,36.7570915222168
0.17361469999013934,10,CW,9.957428932189941,0.32327166199684143,0.010256871581077576,24.074710845947266,0.11548129469156265,36.75776290893555
0.18443339999066666,10,CW,10.054986953735352,0.30186551809310913,0.03135931119322777,24.089214324951172,0.1087261289358139,36.75862503051758
0.199777499990887,10,CW,10.017099380493164,0.43627190589904785,0.15674513578414917,24.089214324951172,0.12205293029546738,36.759490966796875
0.2133488999970723,10,CW,9.906865119934082,0.25322917103767395,-0.06938295811414719,24.084379196166992,0.12130581587553024,36.76034927368164
0.22386499999265652,10,CW,9.800174713134766,0.3386651575565338,0.0671437606215477,24.095659255981445,0.11594552546739578,36.76106643676758
0.23613799999293406,10,CW,9.904561042785645,0.37179434299468994,-0.07922489941120148,24.08599090576172,0.10799422115087509,36.7619514465332
0.24645509998663329,10,CW,9.937238693237305,0.3466460406780243,0.06315751373767853,24.089214324951172,0.13943271338939667,36.762672424316406
0.25689629999396857,10,CW,9.969840049743652,0.4050024747848511,0.17115777730941772,24.095659255981445,0.11661677807569504,36.763282775878906
0.26747619999514427,10,CW,10.005629539489746,0.4199211597442627,0.12530551850795746,24.07793426513672,0.09982630610466003,36.763763427734375
0.27430269999604207,10,CW,10.04172134399414,0.4035821855068207,0.11591638624668121,24.092437744140625,0.11683003604412079,36.76404571533203
0.28006139998615254,10,CW,10.04172134399414,0.3374992907047272,-0.00821569561958313,24.087602615356445,0.11266349256038666,36.76450729370117
